Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL28543,Illumina HiSeq 4000 (Brassica oleracea var. botrytis),high-throughput sequencing,Brassica oleracea var. botrytis,0,12,1,GEO,15-May-20
GPL28545,Illumina HiSeq 4000 (Planococcus kocurii),high-throughput sequencing,Planococcus kocurii,0,2,1,GEO,15-May-20
GPL28541,Illumina NextSeq 500 (Clostridium butyricum),high-throughput sequencing,Clostridium butyricum,0,16,1,GEO,14-May-20
GPL27919,Qiagen Mouse Synaptic Plasticity RT² Profiler PCR Array (PAMM-126Z),RT-PCR,Mus musculus,96,27,1,Melinda Anne Engevik,13-May-20
GPL28519,nCounter Mouse PanCancer Immune Profiling Panel,other,Mus musculus,758,11,1,Maggie C Cam,13-May-20
GPL28531,Illumina HiSeq 2500 (Callitropsis nootkatensis),high-throughput sequencing,Callitropsis nootkatensis,0,0,0,GEO,13-May-20
GPL28532,Phalanx Human CytoOneArray v3.0,spotted oligonucleotide,Homo sapiens,33376,0,0,Sandy Lin,13-May-20
GPL28533,Ion Torrent S5 (Macaca nemestrina),high-throughput sequencing,Macaca nemestrina,0,8,1,GEO,13-May-20
GPL28534,Illumina HiSeq 2500 (Crocodylus porosus),high-throughput sequencing,Crocodylus porosus,0,60,1,GEO,13-May-20
GPL28535,Illumina HiSeq 4000 (Lonchura striata domestica),high-throughput sequencing,Lonchura striata domestica,0,232,3,GEO,13-May-20
GPL28536,Illumina HiSeq 2500 (Parastagonospora nodorum),high-throughput sequencing,Parastagonospora nodorum,0,8,1,GEO,13-May-20
GPL28537,Illumina HiSeq 2500 (Parastagonospora nodorum; Triticum aestivum),high-throughput sequencing,Parastagonospora nodorum;Triticum aestivum,0,8,1,GEO,13-May-20
GPL23618,Oryzon Mouse Expression WGA eArray N12 2 x 105K Design ID 017498,in situ oligonucleotide,Mus musculus,28122,20,2,Tamara Maes,12-May-20
GPL28520,Illumina HiSeq 3000 (Danaus plexippus),high-throughput sequencing,Danaus plexippus,0,36,1,GEO,12-May-20
GPL28521,Illumina HiSeq 3000 (Blumeria graminis f. sp. hordei; Hordeum vulgare),high-throughput sequencing,Blumeria hordei;Hordeum vulgare,0,104,9,GEO,12-May-20
GPL28522,Illumina HiSeq 3000 (Plantibacter sp. Leaf1),high-throughput sequencing,Plantibacter sp. Leaf1,0,6,1,GEO,12-May-20
GPL28523,Illumina HiSeq 3000 (Rhizobium sp. Leaf155),high-throughput sequencing,Rhizobium sp. Leaf155,0,6,1,GEO,12-May-20
GPL28524,Illumina HiSeq 3000 (Pedobacter sp. Leaf176),high-throughput sequencing,Pedobacter sp. Leaf176,0,6,1,GEO,12-May-20
GPL28525,Illumina HiSeq 3000 (Chryseobacterium sp. Leaf404),high-throughput sequencing,Chryseobacterium sp. Leaf404,0,6,1,GEO,12-May-20
GPL28526,Illumina HiSeq 3000 (Exiguobacterium sp. Leaf187),high-throughput sequencing,Exiguobacterium sp. Leaf187,0,6,1,GEO,12-May-20
GPL28527,Illumina HiSeq 3000 (Acinetobacter sp. Leaf130),high-throughput sequencing,Acinetobacter sp. Leaf130,0,6,1,GEO,12-May-20
GPL28528,Illumina HiSeq 3000 (Burkholderia sp. Leaf177),high-throughput sequencing,Burkholderia sp. Leaf177,0,6,1,GEO,12-May-20
GPL28529,Illumina HiSeq 3000 (Flavobacterium sp. Root935),high-throughput sequencing,Flavobacterium sp. Root935,0,6,1,GEO,12-May-20
GPL28530,Illumina HiSeq 3000 (Arthrobacter sp. Soil763),high-throughput sequencing,Arthrobacter sp. Soil763,0,6,1,GEO,12-May-20
GPL28253,Agilent-079303 Mouse Array [ProbeName version],in situ oligonucleotide,Mus musculus,60341,28,2,Annette Schürmann,11-May-20
GPL28511,Illumina HiSeq 4000 (Escherichia coli O157:H7),high-throughput sequencing,Escherichia coli O157:H7,0,4,1,GEO,11-May-20
GPL28512,Illumina HiSeq 4000 (Salmonella enterica),high-throughput sequencing,Salmonella enterica,0,0,0,GEO,11-May-20
GPL28513,NextSeq 550 (unidentified plasmid),high-throughput sequencing,unidentified plasmid,0,0,0,GEO,11-May-20
GPL28514,Illumina MiniSeq (Trypanosoma brucei brucei),high-throughput sequencing,Trypanosoma brucei brucei,0,2,1,GEO,11-May-20
GPL28515,Illumina NovaSeq 6000 (Dugesia japonica; Schmidtea mediterranea),high-throughput sequencing,Dugesia japonica;Schmidtea mediterranea,0,3,1,GEO,11-May-20
GPL28517,Illumina HiSeq 4000 (Trypanosoma brucei brucei),high-throughput sequencing,Trypanosoma brucei brucei,0,38,1,GEO,11-May-20
GPL28518,Illumina NovaSeq 6000 (Anguilla anguilla),high-throughput sequencing,Anguilla anguilla,0,11,2,GEO,11-May-20
GPL26663,Agilent Custom Calotropis Gene Expression 8x60K Array (AMADID: 085482),in situ oligonucleotide,Calotropis procera,59412,8,1,Genotypic technology,10-May-20
GPL28509,SOMAscan human proteomic assay,spotted peptide or protein,Homo sapiens,1129,210,1,Adi Tarca,9-May-20
GPL28496,RayBio G-Series Human T-Helper Cell 1/2/17 Antibody Array 1,antibody,Homo sapiens,34,29,1,Patricia Silveyra,8-May-20
GPL28497,Antigen Discovery Inc. Chlamydia trachomatis Protein Array,spotted peptide or protein,Chlamydia trachomatis,894,72,1,Arlo Zan Randall,8-May-20
GPL28500,Illumina HiSeq 2500 (Notolabrus celidotus),high-throughput sequencing,Notolabrus celidotus,0,95,1,GEO,8-May-20
GPL28503,Illumina HiSeq 2000 (Leptosphaeria maculans 'brassicae' group),high-throughput sequencing,Plenodomus lingam/Leptosphaeria maculans 'brassicae' group,0,9,2,GEO,8-May-20
GPL28504,Illumina HiSeq 2000 (Leptosphaeria maculans 'lepidii' group),high-throughput sequencing,Plenodomus lingam/Leptosphaeria maculans 'lepidii' group,0,9,2,GEO,8-May-20
GPL28505,Illumina HiSeq 4000 (Leptosphaeria maculans 'brassicae' group),high-throughput sequencing,Plenodomus lingam/Leptosphaeria maculans 'brassicae' group,0,3,2,GEO,8-May-20
GPL28506,Illumina HiSeq 4000 (Leptosphaeria maculans 'lepidii' group),high-throughput sequencing,Plenodomus lingam/Leptosphaeria maculans 'lepidii' group,0,3,2,GEO,8-May-20
GPL28508,Illumina HiSeq 2000 (Clostridium tetani),high-throughput sequencing,Clostridium tetani,0,4,1,GEO,8-May-20
GPL28493,Illumina NextSeq 500 (Danio rerio; Oryzias latipes),high-throughput sequencing,Danio rerio;Oryzias latipes,0,3,1,GEO,7-May-20
GPL28494,Illumina NextSeq 500 (Mycobacterium tuberculosis variant bovis BCG),high-throughput sequencing,Mycobacterium tuberculosis variant bovis BCG,0,6,1,GEO,7-May-20
GPL28499,Illumina NovaSeq 6000 (Microtus ochrogaster),high-throughput sequencing,Microtus ochrogaster,0,69,1,GEO,7-May-20
GPL28486,Illumina HiSeq 2500 (Mycobacterium marinum M),high-throughput sequencing,Mycobacterium marinum M,0,4,1,GEO,6-May-20
GPL28488,Illumina NextSeq 500 (Chlorocebus aethiops aethiops; Severe acute respiratory syndrome coronavirus 2),high-throughput sequencing,Chlorocebus aethiops aethiops;Severe acute respiratory syndrome coronavirus 2,0,16,1,GEO,6-May-20
GPL28489,Illumina Novaseq 6000 (Macaca fascicularis),high-throughput sequencing,Macaca fascicularis,0,25,1,GEO,6-May-20
GPL28490,NextSeq 550 (Canis lupus familiaris),high-throughput sequencing,Canis lupus familiaris,0,34,3,GEO,6-May-20
GPL28491,Illumina MiSeq (Suid alphaherpesvirus 1),high-throughput sequencing,Suid alphaherpesvirus 1,0,1,2,GEO,6-May-20
GPL28492,BGISEQ-500 (Macaca fascicularis),high-throughput sequencing,Macaca fascicularis,0,1154,1,GEO,6-May-20
GPL28482,Illumina HiSeq 2500 (Nesocodon mauritianus),high-throughput sequencing,Nesocodon mauritianus,0,1,1,GEO,5-May-20
GPL28483,Illumina HiSeq 4000 (Nannochloropsis oceanica),high-throughput sequencing,Nannochloropsis oceanica,0,15,1,GEO,5-May-20
GPL28484,Illumina NovaSeq 6000 (Paralichthys lethostigma),high-throughput sequencing,Paralichthys lethostigma,0,45,1,GEO,5-May-20
GPL28478,Illumina NextSeq 500 (Pseudomonas putida KT2440),high-throughput sequencing,Pseudomonas putida KT2440,0,121,5,GEO,4-May-20
GPL28476,Illumina HiSeq 3000 (Citrus sinensis),high-throughput sequencing,Citrus sinensis,0,23,1,GEO,2-May-20
GPL28449,Fluidigm BioMark Sus Scrofa qPCR,RT-PCR,Sus scrofa,241,415,2,Rajanikanth Vadigepalli,1-May-20
GPL28471,Illumina NextSeq 500 (Solenopsis invicta),high-throughput sequencing,Solenopsis invicta,0,64,1,GEO,1-May-20
GPL28472,Illumina NextSeq 500 (Armillaria cepistipes),high-throughput sequencing,Armillaria cepistipes,0,14,2,GEO,1-May-20
GPL28474,Ion Torrent PGM (Pseudomonas syringae pv. actinidiae),high-throughput sequencing,Pseudomonas syringae pv. actinidiae,0,12,1,GEO,1-May-20
GPL28475,Illumina NovaSeq 6000 (Saccharomyces cerevisiae BY4741),high-throughput sequencing,Saccharomyces cerevisiae BY4741,0,0,0,GEO,1-May-20
GPL27958,Agilent-074334 Genotypic_EA933_Japanese_medaka_GXP_4x44K_ArrayDesign (Feature number version),in situ oligonucleotide,Oryzias latipes,45220,31,1,Valerie S Langlois,30-Apr-20
GPL28467,Illumina HiSeq 2500 (Cellvibrio japonicus),high-throughput sequencing,Cellvibrio japonicus,0,30,3,GEO,29-Apr-20
GPL28464,Illumina Genome Analyzer IIx (Brassica oleracea),high-throughput sequencing,Brassica oleracea,0,8,1,GEO,28-Apr-20
GPL28465,Illumina HiSeq 4000 (Streptococcus mutans),high-throughput sequencing,Streptococcus mutans,0,16,3,GEO,28-Apr-20
GPL28102,[HTA-2_0] Affymetrix Human Transcriptome Array 2.0 [CDF: hta20_Hs_ENTREZG_22.0.0],in situ oligonucleotide,Homo sapiens,32496,12,1,GEO admin,27-Apr-20
GPL28457,DNBSEQ-G400 (Mus musculus),high-throughput sequencing,Mus musculus,0,1427,145,GEO,27-Apr-20
GPL28458,Illumina HiSeq 2500 (Musa ABB Group),high-throughput sequencing,Musa ABB Group,0,3,1,GEO,27-Apr-20
GPL28459,Illumina HiSeq 2500 (Musa acuminata var. zebrina),high-throughput sequencing,Musa acuminata var. zebrina,0,4,1,GEO,27-Apr-20
GPL28460,[HTA-2_0] Affymetrix Human Transcriptome Array 2.0 [CDF: hta20_Hs_ENTREZG_23.0.0],in situ oligonucleotide,Homo sapiens,32830,753,5,GEO admin,27-Apr-20
GPL28462,Illumina HiSeq 4000 (Sycon ciliatum),high-throughput sequencing,Sycon ciliatum,0,10,1,GEO,27-Apr-20
GPL28463,Illumina NovaSeq 6000 (Sycon ciliatum),high-throughput sequencing,Sycon ciliatum,0,16,1,GEO,27-Apr-20
GPL28453,Illumina HiSeq 2000 (Bacteroides thetaiotaomicron),high-throughput sequencing,Bacteroides thetaiotaomicron,0,4,1,GEO,26-Apr-20
GPL28454,Illumina NextSeq 500 (Faecalicatena contorta),high-throughput sequencing,Faecalicatena contorta,0,10,1,GEO,26-Apr-20
GPL28455,Illumina NextSeq 500 (Faecalicatena fissicatena),high-throughput sequencing,Faecalicatena fissicatena,0,6,1,GEO,26-Apr-20
GPL28447,Illumina NovaSeq 6000 (Phyllostachys violascens),high-throughput sequencing,Phyllostachys violascens,0,16,1,GEO,23-Apr-20
GPL28448,Illumina HiSeq 2000 (Candida albicans SC5314),high-throughput sequencing,Candida albicans SC5314,0,6,1,GEO,23-Apr-20
GPL28450,Illumina HiSeq 4000 (Strongylocentrotus purpuratus),high-throughput sequencing,Strongylocentrotus purpuratus,0,14,3,GEO,23-Apr-20
GPL28451,Illumina HiSeq 2000 (Penicillium roqueforti),high-throughput sequencing,Penicillium roqueforti,0,6,1,GEO,23-Apr-20
GPL28441,[RabGene-1_0-st] Rabbit Gene 1.0 ST Array [transcript (gene) version],in situ oligonucleotide,Oryctolagus cuniculus,26193,8,2,"Affymetrix, Inc.",22-Apr-20
GPL28443,Illumina MiSeq (Oryctolagus cuniculus),high-throughput sequencing,Oryctolagus cuniculus,0,41,4,GEO,22-Apr-20
GPL28444,MinION (Bacillus subtilis; Dengue virus; Oceanobacillus iheyensis; Saccharomyces cerevisiae),high-throughput sequencing,Bacillus subtilis;Dengue virus;Oceanobacillus iheyensis;Saccharomyces cerevisiae,0,2,1,GEO,22-Apr-20
GPL28445,Illumina MiSeq (Saccharolobus solfataricus),high-throughput sequencing,Saccharolobus solfataricus,0,6,2,GEO,22-Apr-20
GPL27791,Agilent-074558 Ssc v21. custom - 4 species,in situ oligonucleotide,Bos taurus;Homo sapiens;Mus musculus;Sus scrofa,15744,8,1,Monika M Kaczmarek,21-Apr-20
GPL28433,Agilent-085605 ENH_TILE_001  G4126A,in situ oligonucleotide,Homo sapiens,62976,14,1,Trevor Siggers,21-Apr-20
GPL28434,Agilent-085920 IMM_SNP_001  G4126A,in situ oligonucleotide,Homo sapiens,62976,16,1,Trevor Siggers,21-Apr-20
GPL28435,Agilent-086248 IMM_SNP_001_CASCADE  G4125A,in situ oligonucleotide,Homo sapiens,180880,8,1,Trevor Siggers,21-Apr-20
GPL28440,Illumina MiSeq (Human immunodeficiency virus),high-throughput sequencing,Human immunodeficiency virus,0,1,1,GEO,21-Apr-20
GPL26199,Agilent-016088 custom human microarray [Probe Name version],in situ oligonucleotide,Homo sapiens,738,529,1,Patricia Sebastian-Leon,20-Apr-20
GPL26612,NanoString nCounter Human Kinase Panel,other,Homo sapiens,550,48,1,Sooryanarayana Varambally,20-Apr-20
GPL27726,[MoGene-2_0-st] Affymetrix Mouse Gene 2.0 ST Array [gene-symbol version],in situ oligonucleotide,Mus musculus,23991,30,1,Theresa Chow,20-Apr-20
GPL28437,Illumina NovaSeq 6000 (Cavia porcellus),high-throughput sequencing,Cavia porcellus,0,114,4,GEO,20-Apr-20
GPL28428,Illumina Infinium DrugDev Consortium Array (DrugDevConsortium-24v1-1),oligonucleotide beads,Homo sapiens,478071,28,1,George S. Charames,18-Apr-20
GPL28431,BGISEQ-500 (Oryctolagus cuniculus),high-throughput sequencing,Oryctolagus cuniculus,0,71,3,GEO,18-Apr-20
GPL26516,nCounter Non-human Primate Immunology v2.0 chipset,other,Primates,784,48,3,Matthew Price Wood,17-Apr-20
GPL27115,Agilent-052932 Aflavus_CDS_sense_130705 [Probe Name version],in situ oligonucleotide,Aspergillus flavus,13480,8,1,Myco Umemura,17-Apr-20
GPL28421,Qiagen Human Custom RT² lncRNA qPCR Arrays,RT-PCR,Homo sapiens,96,6,1,Wei Wang,17-Apr-20
GPL28427,Illumina MiSeq (Candidatus Kuenenia stuttgartiensis),high-throughput sequencing,Candidatus Kuenenia stuttgartiensis,0,2,1,GEO,17-Apr-20
GPL28430,DNBSEQ-G50 (Mus musculus),high-throughput sequencing,Mus musculus,0,54,8,GEO,17-Apr-20
GPL28399,Illumina HiSeq 2500 (Acorus calamus),high-throughput sequencing,Acorus calamus,0,4,1,GEO,16-Apr-20
GPL28400,Illumina HiSeq 2500 (Goudaea ospinae),high-throughput sequencing,Goudaea ospinae,0,5,1,GEO,16-Apr-20
GPL28401,Illumina HiSeq 2500 (Canna indica),high-throughput sequencing,Canna indica,0,6,1,GEO,16-Apr-20
GPL28402,Illumina HiSeq 2500 (Colocasia esculenta),high-throughput sequencing,Colocasia esculenta,0,2,1,GEO,16-Apr-20
GPL28403,Illumina HiSeq 2500 (Cyperus alternifolius),high-throughput sequencing,Cyperus alternifolius,0,3,1,GEO,16-Apr-20
GPL28404,Illumina HiSeq 2500 (Phoenix dactylifera),high-throughput sequencing,Phoenix dactylifera,0,4,1,GEO,16-Apr-20
GPL28405,Illumina HiSeq 2500 (Echinodorus uruguayensis),high-throughput sequencing,Echinodorus uruguayensis,0,5,1,GEO,16-Apr-20
GPL28406,Illumina HiSeq 2500 (Freycinetia cumingiana),high-throughput sequencing,Freycinetia cumingiana,0,6,1,GEO,16-Apr-20
GPL28407,Illumina HiSeq 2500 (Kniphofia uvaria),high-throughput sequencing,Kniphofia uvaria,0,4,1,GEO,16-Apr-20
GPL28408,Illumina HiSeq 2500 (Liriope muscari),high-throughput sequencing,Liriope muscari,0,3,1,GEO,16-Apr-20
GPL28409,Illumina HiSeq 2500 (Nymphaea colorata),high-throughput sequencing,Nymphaea colorata,0,7,1,GEO,16-Apr-20
GPL28410,Illumina HiSeq 2500 (Phalaenopsis equestris),high-throughput sequencing,Phalaenopsis equestris,0,8,1,GEO,16-Apr-20
GPL28411,Illumina HiSeq 2500 (Pharus parvifolius),high-throughput sequencing,Pharus parvifolius,0,3,1,GEO,16-Apr-20
GPL28412,Illumina HiSeq 2500 (Ananas comosus),high-throughput sequencing,Ananas comosus,0,8,1,GEO,16-Apr-20
GPL28413,Illumina HiSeq 2500 (Prosthechea radiata),high-throughput sequencing,Prosthechea radiata,0,5,1,GEO,16-Apr-20
GPL28414,Illumina HiSeq 2500 (Raddia brasiliensis),high-throughput sequencing,Raddia brasiliensis,0,3,1,GEO,16-Apr-20
GPL28416,Illumina HiSeq 2500 (Sagittaria montevidensis),high-throughput sequencing,Sagittaria montevidensis,0,4,1,GEO,16-Apr-20
GPL28417,Illumina HiSeq 2500 (Streptochaeta angustifolia),high-throughput sequencing,Streptochaeta angustifolia,0,5,1,GEO,16-Apr-20
GPL28418,Illumina HiSeq 2500 (Tradescantia fluminensis),high-throughput sequencing,Tradescantia fluminensis,0,3,1,GEO,16-Apr-20
GPL28419,Illumina HiSeq 2500 (Zostera marina),high-throughput sequencing,Zostera marina,0,7,1,GEO,16-Apr-20
GPL28420,Illumina HiSeq 2500 (Anomochloa marantoidea),high-throughput sequencing,Anomochloa marantoidea,0,3,1,GEO,16-Apr-20
GPL28422,Illumina NextSeq 500 (Myotis velifer),high-throughput sequencing,Myotis velifer,0,28,2,GEO,16-Apr-20
GPL28423,Illumina HiSeq 4000 (Myotis velifer),high-throughput sequencing,Myotis velifer,0,12,2,GEO,16-Apr-20
GPL28388,CodeLink Human 20k Bioarray,spotted oligonucleotide,Homo sapiens,21492,2,1,Sakamuri V Reddy,15-Apr-20
GPL28118,SABiosciences Human RT^2 miRNA PCR Assay,RT-PCR,Homo sapiens,384,2,1,Coen van Solingen,14-Apr-20
GPL27459,Invitrogen ProtoArray v5.1,spotted peptide or protein,Homo sapiens,9375,64,1,Robert G Nagele,14-Apr-20
GPL28380,Arraystar Human m6A Single Nucleotide Resolution V1 Microarray,in situ oligonucleotide,Homo sapiens,14321,0,0,Panos Pan,14-Apr-20
GPL28384,Arraystar Mouse m6A Single Nucleotide Resolution V1 Microarray,in situ oligonucleotide,Mus musculus,14318,20,1,Panos Pan,14-Apr-20
GPL28385,Arraystar Rat m6A Single Nucleotide Resolution V1 Microarray,in situ oligonucleotide,Rattus norvegicus,14581,0,0,Panos Pan,14-Apr-20
GPL28387,Agilent-085202 LC Human ceRNA array [probe name version] [circRNA version],in situ oligonucleotide,Homo sapiens,48421,22,1,Qi Guo,14-Apr-20
GPL28389,Illumina HiSeq 4000 (leaf litter metagenome),high-throughput sequencing,leaf litter metagenome,0,41,1,GEO,14-Apr-20
GPL28391,Illumina HiSeq 4000 (Sinorhizobium meliloti 2011),high-throughput sequencing,Sinorhizobium meliloti 2011,0,2,2,GEO,14-Apr-20
GPL28396,Illumina HiSeq 4000 (Moesziomyces sp. 2020a),high-throughput sequencing,Moesziomyces sp. GD-2020a,0,3,1,GEO,14-Apr-20
GPL28397,Illumina HiSeq 4000 (Arabidopsis thaliana; Moesziomyces sp. 2020a),high-throughput sequencing,Arabidopsis thaliana;Moesziomyces sp. GD-2020a,0,6,1,GEO,14-Apr-20
GPL28398,Illumina HiSeq 4000 (Albugo laibachii; Arabidopsis thaliana; Moesziomyces sp. 2020a),high-throughput sequencing,Albugo laibachii;Arabidopsis thaliana;Moesziomyces sp. GD-2020a,0,6,1,GEO,14-Apr-20
GPL28382,Illumina HiSeq 2500 (Funneliformis mosseae; Oryza sativa),high-throughput sequencing,Funneliformis mosseae;Oryza sativa,0,3,1,GEO,13-Apr-20
GPL28386,NextSeq 550 (Pseudomonas aeruginosa),high-throughput sequencing,Pseudomonas aeruginosa,0,112,4,GEO,13-Apr-20
GPL28378,Illumina MiSeq (Phaeobacter inhibens),high-throughput sequencing,Phaeobacter inhibens,0,9,1,GEO,11-Apr-20
GPL27489,TaqMan Rodent MicroRNA A  and B Array v3,RT-PCR,Mus musculus,768,6,1,Isabelle DUROUX-RICHARD,10-Apr-20
GPL27490,TaqMan Low Density MicroRNA Array Human Cards A and B,RT-PCR,Homo sapiens,768,10,2,Isabelle DUROUX-RICHARD,10-Apr-20
GPL28373,GeoChip 5.0S,in situ oligonucleotide,Archaea;Bacteria;Eukaryota;Viruses,49601,24,1,Claudia Gunsch,10-Apr-20
GPL28374,Illumina iSeq 100 (Rattus norvegicus),high-throughput sequencing,Rattus norvegicus,0,16,1,GEO,10-Apr-20
GPL28376,Illumina HiSeq 4000 (Syzygium samarangense),high-throughput sequencing,Syzygium samarangense,0,6,1,GEO,10-Apr-20
GPL28370,Illumina HiSeq 2500 (Streptococcus gallolyticus UCN34),high-throughput sequencing,Streptococcus gallolyticus UCN34,0,12,1,GEO,9-Apr-20
GPL16338,Agilent-024712 Aspergillus nidulans chip,in situ oligonucleotide,Aspergillus nidulans FGSC A4,10701,1,1,Istvan Pocsi,8-Apr-20
GPL28366,Illumina MiSeq (Mus musculus; Mus musculus molossinus),high-throughput sequencing,Mus musculus;Mus musculus molossinus,0,12,1,GEO,8-Apr-20
GPL28367,Illumina HiSeq 4000 (Sesamum indicum),high-throughput sequencing,Sesamum indicum,0,12,1,GEO,8-Apr-20
GPL28368,Illumina NovaSeq 6000 ([Candida] auris),high-throughput sequencing,[Candida] auris,0,59,7,GEO,8-Apr-20
GPL28369,Illumina NextSeq 500 (Mustela putorius furo),high-throughput sequencing,Mustela putorius furo,0,44,2,GEO,8-Apr-20
GPL28345,"Yongsheng Li Lab glucose and lipid metabolism PCR panel, v2",RT-PCR,Homo sapiens,50,18,2,Huakan Zhao,7-Apr-20
GPL28356,Illumina HiSeq 1500 (Caulobacter vibrioides),high-throughput sequencing,Caulobacter vibrioides,0,6,2,GEO,7-Apr-20
GPL28357,BGISEQ-500 (Helianthus annuus),high-throughput sequencing,Helianthus annuus,0,30,4,GEO,7-Apr-20
GPL28361,Illumina HiSeq 4000 (Botrytis cinerea; Solanum lycopersicum),high-throughput sequencing,Botrytis cinerea;Solanum lycopersicum,0,38,2,GEO,7-Apr-20
GPL28362,Illumina HiSeq 4000 (Fusarium acuminatum; Solanum lycopersicum),high-throughput sequencing,Fusarium acuminatum;Solanum lycopersicum,0,8,1,GEO,7-Apr-20
GPL28363,Illumina HiSeq 4000 (Rhizopus stolonifer; Solanum lycopersicum),high-throughput sequencing,Rhizopus stolonifer;Solanum lycopersicum,0,8,1,GEO,7-Apr-20
GPL28364,Illumina NextSeq 500 (Lachancea kluyveri),high-throughput sequencing,Lachancea kluyveri,0,36,2,GEO,7-Apr-20
GPL28292,Agendia human array,in situ oligonucleotide,Homo sapiens,31300,102,1,Wilbert Zwart,6-Apr-20
GPL28344,Illumina HiSeq 2500 (Lassa mammarenavirus),high-throughput sequencing,Lassa mammarenavirus,0,1,1,GEO,6-Apr-20
GPL28352,Sequel II (Homo sapiens),high-throughput sequencing,Homo sapiens,0,192,104,GEO,6-Apr-20
GPL28353,Sequel II (Drosophila melanogaster),high-throughput sequencing,Drosophila melanogaster,0,2,2,GEO,6-Apr-20
GPL28354,Sequel (Drosophila melanogaster),high-throughput sequencing,Drosophila melanogaster,0,2,2,GEO,6-Apr-20
GPL28355,BGISEQ-500 (Schizosaccharomyces pombe),high-throughput sequencing,Schizosaccharomyces pombe,0,9,1,GEO,6-Apr-20
GPL25800,Agilent-020186 C.elegans v2 (GeneName version),spotted oligonucleotide,Caenorhabditis elegans,25290,8,1,Hiba Waldman Ben-Asher,3-Apr-20
GPL28343,Illumina HiSeq 4000 (Halobacterium salinarum),high-throughput sequencing,Halobacterium salinarum,0,56,3,GEO,3-Apr-20
GPL28341,Illumina HiSeq 2000 (Panicum miliaceum),high-throughput sequencing,Panicum miliaceum,0,2,1,GEO,2-Apr-20
GPL26641,Agilent-020717 Fusarium graminearum 4x44k,spotted oligonucleotide,Fusarium graminearum,41448,0,0,Linda J Harris,1-Apr-20
GPL27751,FDA-EVIR GeneChip Tiling Array,in situ oligonucleotide,Astrovirus sp.;Bacillus subtilis;Coxsackievirus;Hepatovirus A;Norovirus;Paslahepevirus balayani;Rotavirus;Sapovirus;unidentified adenovirus,105527,17,1,Christine Fang Yu,1-Apr-20
GPL28333,BGISEQ-500 (Eisenia fetida),high-throughput sequencing,Eisenia fetida,0,6,1,GEO,1-Apr-20
GPL28337,DNBSEQ-G50 (Homo sapiens),high-throughput sequencing,Homo sapiens,0,77,8,GEO,1-Apr-20
GPL28338,Illumina NovaSeq 6000 (Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344),high-throughput sequencing,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,0,131,1,GEO,1-Apr-20
GPL28340,Illumina MiSeq (Populus tremula x Populus alba),high-throughput sequencing,Populus tremula x Populus alba,0,0,0,GEO,1-Apr-20
GPL27653,Agilent-032570 Candida glabrata [gene version],in situ oligonucleotide,Nakaseomyces glabratus,5202,17,1,Thomas Denecker,31-Mar-20
GPL28332,Illumina MiSeq (Gluconobacter oxydans),high-throughput sequencing,Gluconobacter oxydans,0,7,2,GEO,31-Mar-20
GPL28226,llumina HumanHT-12 V4.0 expression beadchip [custom probe mapping],oligonucleotide beads,Homo sapiens,18279,268,2,Emma Thompson,30-Mar-20
GPL28321,Agilent-072274 MG1363_ncRNA [Block.Column.Row ID version],in situ oligonucleotide,Lactococcus cremoris,15744,12,2,Jhonatan Alejandro HernandezValdes,30-Mar-20
GPL28324,Illumina MiSeq (Apis mellifera),high-throughput sequencing,Apis mellifera,0,83,2,GEO,30-Mar-20
GPL28325,Illumina HiSeq 2000 (Shiraia bambusicola),high-throughput sequencing,Shiraia bambusicola,0,0,0,GEO,30-Mar-20
GPL28326,Illumina NovaSeq 6000 (Fusarium graminearum),high-throughput sequencing,Fusarium graminearum,0,18,2,GEO,30-Mar-20
GPL28328,Illumina NovaSeq 6000 (Pseudomonas aeruginosa PA14),high-throughput sequencing,Pseudomonas aeruginosa PA14,0,80,3,GEO,30-Mar-20
GPL28330,DNBSEQ-T7 (Mus musculus),high-throughput sequencing,Mus musculus,0,95,20,GEO,30-Mar-20
GPL28331,Illumina HiSeq 2500 (Ochrobactrum intermedium),high-throughput sequencing,Brucella intermedia,0,6,1,GEO,30-Mar-20
GPL28322,Illumina HiSeq 2500 (Microhyla fissipes),high-throughput sequencing,Microhyla fissipes,0,11,1,GEO,29-Mar-20
GPL28323,Illumina NovaSeq 6000 (Candida albicans),high-throughput sequencing,Candida albicans,0,255,8,GEO,29-Mar-20
GPL28317,Agilent-085039 Pf3D7v7.1_Transcriptome_apimito_v2 [Probe Name version],in situ oligonucleotide,Plasmodium falciparum 3D7,14919,8,1,Till Steffen Voss,28-Mar-20
GPL28320,Illumina Human Infinium CoreExome-24 Genotyping BeadChip (HumanCoreExome-24 v1.0),oligonucleotide beads,Homo sapiens,592617,383,1,Dake Zhang,28-Mar-20
GPL26848,Agilent-085206 Gquad  G4125A,in situ oligonucleotide,synthetic construct,2264,32,2,Desiree Tillo,27-Mar-20
GPL26849,Agilent-085491 neog4  G4125A,in situ oligonucleotide,synthetic construct,18512,12,2,Desiree Tillo,27-Mar-20
GPL26850,Agilent-085634 Danzhou_G4  G4125A,in situ oligonucleotide,synthetic construct,15671,114,2,Desiree Tillo,27-Mar-20
